Dao_title,categories,about,blockchain,followers,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8392106e2ff53c3a848c7133099faebb.png
space riders nft dao,"['DeFi', 'Social']",owning space rider grants member access to the spaceport district where the riders reside space riders is collection of nfts that are deployed on the ethereum blockchain these nfts are made up of astral like space explorers that take on simple but unique look space riders are colorful distinctive and carry many traits that we all know and love they pose to act as reflection of all of us riding the space in web most of us have become devoted to the nft space in one way or another therefore have spent lots of time learning about this rapid growing network it busy delicate and very perplexing at times what we aim to provide with space riders is not only cool art that you can resonate with but to bring riders of the space together,ethereum,14600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/Id_VwHwL_400x400.jpg
the tower dao,['Social'],futuristic skyscraper in the metaverse of solana when you become resident you join welcoming community of builders artists musicians nft investors and more tower exists to open doors to your future in crypto and web while creating fun and memorable experiences,ethereum,30100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/iNcj55hU_400x400.jpg
gods unchained dao,['Gaming'],free to play tactical card game that gives players true ownership of their in game items,ethereum,100900,https://ipfs.io/ipfs/QmSBk4dBmxucDWEmVPHwZJfY6FyPbP2mENX4jTNsNCPbWp
lil baby ape club dao,"['other', 'other', 'other', 'other']",one day bunch of apes became really bored and decided its time to have family join the club and let cause mayhem,other,0,https://avatars.githubusercontent.com/u/91611039?s=400&u=1a25ab13c0e688afe372808c3067b7524b0423e5&v=4
floki dao,['other'],floki is the people cryptocurrency and utility token of the floki ecosystem,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ZnwsXU9c_400x400.jpg
diadata dao,"['DAO Tools', 'Protocol', 'other']",open source data platform that allows market actors to supply share and use transparent crowd verified data and oracles for defi dia decentralised information asset is cross chain end to end open source data and oracle platform for web,ethereum,53700,https://ipfs.io/ipfs/QmRxPSk9XPz85AnsWQuJxfs7aTj7Ubto1iekg8z19vD6Tm
octopuos dao,['Entertainment'],octopuos is fun gamified soup filled experience with true dao immersion,other,0,https://ipfs.io/ipfs/QmVokRUEWvHV3x54fXb6boxsWsRfApcjwXFfq7TKdjJ4Gp
ladz dao,"['other', 'other', 'other', 'other']",content network and creator collective for the nft and web industry,other,0,https://ipfs.io/ipfs/QmPhFQCpeDrsEi59m9eVvCtcMQBS8yWyt342mLM23nR9MZ
fbomb finance dao,['DeFi'],the first native token on the fantom ecosystem,fantom,0,https://allsportsx.io/img/logo.png
sportx dao,"['Entertainment', 'Social Impact']",sports blockchain all sports is blockchain dedicated to sports marketing sports ip nft asset trading sports middle tier infrastructure implementation and game application development,ethereum,1100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/s1gtHfOt_400x400.jpg
necdao,['DeFi'],necdao empowers the community to democratically drive development of the nectar ecosystem whilst giving people the world over new way to pitch and be rewarded for their talents the nectar dao necdao is the decentralized nerve centre of nectar it empowers the community to democratically drive development of the nectar ecosystem whilst giving people the world over new way to pitch and be rewarded for their talents,ethereum,5900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8NVkjxmn_400x400.jpg
illuvinati governance dao,['Gaming'],illuvium is an open world fantasy battle game built on the ethereum blockchain often touted as the first aaa game on ethereum illuvium looks to provide source of entertainment to both casual gamers and hardcore defi fans through range of collecting and trading features,ethereum,547100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/Vk1MujPn_400x400.jpg
framework ventures dao,"['DAO Tools', 'DeFi', 'Investment']",thesis driven crypto venture firm that builds alongside our founders we partner with founders and teams to build token based networks and develop the requisite cryptoeconomics governance and community to scale,ethereum,43400,https://pbs.twimg.com/profile_images/1508815975092740101/3BXNNl3S_400x400.jpg
ichi.farm dao,['other'],empowering crypto projects with community controlled defi ichi is decentralized autonomous organization dao that gives crypto projects the tools they need to participate in defi more efficiently,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/fpKGDQNW_400x400.jpg
anoma dao,"['DAO Tools', 'Social', 'Protocol']",sovereign proof of stake blockchain that enables private asset agnostic bartering among any number of parties,ethereum,47600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/uHn6VlAi_400x400.jpg
okcoin dao,['DeFi'],global cryptocurrency exchange with the lowest fees around,polygon,176800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/TJYKtiol_400x400.jpg
mr. bojangles dao,['Collector'],environmentally charitable frictionless yield farming protocol that is designed to incentivize sleepy sloth to hold due to its burn redistribution mechanism,ethereum,6800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/44bd9600a8e502a000e46b95cb9b99c7.jpeg
charmverse dao,"['other', 'other', 'other', 'other']",charmverse is web operations platform handling docs tasks bounties and proposals charmverse is web operations platform handling docs tasks bounties and proposals it is place for team contributors to coordinate day to day work sign in with crypto wallets and unlock workspaces with tokens nfts,other,0,https://ipfs.io/ipfs/QmfBWJJStmpEYC7DgSkFFVHtgXmEyfW1n9Jkk6xJZmk4tG
bunny dao,['DeFi'],bunny is defi yield farming aggregator and optimizer for the binance smart chain and polygon the greater ecosystem of decentralized finance defi particularly the yield aggregators experienced very significant growth in from there optimization opportunities emerged that the team felt poised to innovate upon the bunny protocol was created to provide users with an easy way to automatically compound the returns of their investments made through the binance bsc smart chain bsc and more recently the polygon chain,binance,21700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/2M40bWlz_400x400.jpg
npc guild dao,"['other', 'other', 'other']",the npc guild handles all matters relating to npcs in the metaverse,polygon,0,https://pbs.twimg.com/profile_images/1489358219126489090/FzoPTEpu_400x400.jpg
shibuya dao,"['other', 'other', 'other', 'other']",shibuya is decentralized film distribution platform,other,0,https://pbs.twimg.com/profile_images/1395111536356638728/Rhv1fSXh_400x400.jpg
pube dao,['Social Impact'],pube finance dao the pube finance protocol is community driven fair launched defi token with focus on charity we envisage future where everyone can pay with pubes on each transaction two simple functions occur holders earn free tokens reflection and the liquidity pool grows join us on our journey to the moon while making the world better place,binance,3300,https://pbs.twimg.com/profile_images/1510010252787212290/Kuiapnmy_400x400.jpg
unlock protocol dao,"['Collector', 'Protocol']",ʉnlock is an open source protocol for memberships as nfts unlock is meant to help creators find ways to monetize without relying on middleman it protocol and not centralized platform that controls everything that happens on it,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/50c927dbdedef0e85acd161d54f2d7f3.jpg
social impact dao llc dao,['Social Impact'],to empower communities through disrupting and revolutionizing how treatment of substance use disorders mental health and housing for homelessness occurs bringing state of the art technology to empowerment healing and consequently sobriety by shifting profits from the substance use disorders and mental health treatment industry we can subsidize the healing aspects of how to support people and communities with needed resources addressing social determinants of health including housing,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5a1H1sqV_400x400.jpg
mint fund dao,"['other', 'other', 'other', 'other']",community owned initiative helping crypto creators mint their first nfts http discord gg gkqbsenkq mint fund is community project created with the sole purpose to build support network for artists interested in bringing their art into the world of crypto as nfts we provide creators with the funds known as gas costs needed to mint their first nft the team also offers guidance mentorship and advice for our growing community of creators the fund is accessible to all creators though we prioritize bipoc and lgbtqia creators especially outside of north america and the european union we ve received an overwhelming amount of applications to join the mint fund we are currently reviewing submissions and will notify accepted artists about next steps thank you to the community for your support of the mint fund and we hope to be able to open up rolling applications again soon,ethereum,8300,https://ipfs.io/ipfs/QmasDkExwnq5SpQVsuYbVZtQnTnfxthT1s4cVxqdDhzcvF
cronosports dao,"['Entertainment', 'Gaming']",welcome to the first dao protocol innovating the methodology through zero loss betting cronosports is the only platform where your privacy and fun walk side by side the best web sports esports betting platform driven by the community instant withdrawals and deposits never leaving you in the lurch come bet on chain with us,other,0,https://pbs.twimg.com/profile_images/1559804842217943040/yx4yJ5Zi_400x400.jpg
safepal dao,"['DeFi', 'Investment']",st tokenized crypto hardware wallet backed by binance sfp token,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/zSx4RkLA_400x400.png
degate dao,['Protocol'],fairly launched dao centric ethereum layer trading protocol make decentralized exchange mainstream,ethereum,22300,https://ipfs.io/ipfs/QmXPmo3am6QsLZsUbsRLPjxNWH8UWaHyyvqTxfirba7rCz
refraction dao,"['Social', 'Media']",we re community of diverse music art and culture enthusiasts who will own festival ongoing events and spaces worldwide refraction is diverse community who produce festivals and ongoing events release nft projects and create written visual and audio content around art culture and music today this year festival will happen across the globe with the performances installations and music sets being recorded to culminate in an extended festival in the open metaverse,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/PbKvYxw1_400x400.jpg
nifty's dao,"['other', 'Collector']",social nft platform we will not rest until billion people are collecting nfts,ethereum,103300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/RYCU7_dZ_400x400.png
balancer dao,"['DeFi', 'Investment']",platform for programmable liquidity,ethereum,131300,https://raw.githubusercontent.com/thorfinancial/assets/main/logo.png
thor financial dao,"['other', 'other', 'other', 'other']",next generation hybrid protocol on the avalanche ecosystem battling for the highest yields across the chains,other,0,https://ipfs.io/ipfs/QmTjchUniBQbAXbonLhLf98PGzdTkndfAkok8gMiUajcdZ
3x3punks dao,"['other', 'other', 'other', 'other']",punks is collection of generated brick punks with all attributes and color palette inspired from cryptopunks with carefully selected real life lego color background and stylized light environment from dawn to sunset make it more colorful,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/6ae311f4e590aee8cdb6aa46c51c2bc6.png
tokenomics dao,['other'],the tokenomics dao increases the collective understanding of tokenomics in web by providing relevant content and services to web users builders and investors our dao will be an accessible community of content producers tool developers and trusted consultants community of people interested in tokenomics learning discussing and teaching how tokenomics can be used in web and web projects we produce educational content and consult others on how to implement their tokenomics,other,0,https://avesp.xyz/oss/token_icon/bsc/0x164ec17a3da2f0c7182a2b521c91d22804837a03.png
leek dao,"['other', 'other', 'other']",look for those bruised and bruised leeks scattered around every corner and the leeks community will pick them up,other,0,https://ipfs.io/ipfs/QmZPsKwPpi5VebUMuhyfF2hVqANkZBN7kdxkMZWjyRqJSJ
spear finance  dao,"['DeFi', 'Investment']",year financial ecosystem designed for sustainable passive income,other,0,https://ipfs.io/ipfs/QmfNJYQSvGJZ3QfAjCoZqBZay2bvz48iFPBv461eVXrUdh
minotaur money dao,['Venture Capital'],decentralized reserve currency and vc on cronos network minotaur money is reserve currency and decentralized vc on the cronos network that employs transaction tax redistribution to stakers as holding incentive its reserve currency asset mino is backed by mixed basket of assets cro wbtc weth dai in the treasury and the treasury assets are deployed to make profit for the dao the protocol employs fractionality to enable treasury funds to be deployed for decentralized vc cross chain liquidity farming or incentivizing votes for liquidity rewards additional staking of wsmino tokens provides extra rewards for mino stakers the minotaur money protocol employs the dynamics of staking and minting aka bonding to create crypto denominated reserve currency in the cronos ecosystem,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/wNNzn8OT_400x400.jpg
sarcophagus dao,['DAO Tools'],decentralized dead man switch application built on eth and arweave,ethereum,6600,https://ipfs.io/ipfs/QmNrJmxrwwTEGxGzdvWPnUxLuUCv728JdfKAUnqHTvDjDz
nuke vaults dao,"['other', 'other', 'other']",nuke vaults was created with the mission to become simple secure and easy to use dapp to get yield on stablecoins in layer and sidechains,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ixijGeIo_400x400.jpg
badger dao,"['DeFi', 'other']",building products to bring btc to defi,ethereum,57000,https://ipfs.io/ipfs/QmNMmSLj4benwfQKA3NjhWCDDqcqXmTCzCKuin5bAgCmmU
blocks dao,['other'],connecting industries to blockchain in the world first dao llc,other,0,https://ipfs.io/ipfs/QmXGzJyd5jHUCVWKuP99fyoiDnJBjLzWHnXxGhWVrfKEAd
