,Dao_title,categories,about,simdaos,chain
71,DAOHQ - necDAO,['DeFi'],"NECDAO empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
 The Nectar DAO (necDAO) is the decentralized nerve-centre of Nectar. It empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Ethereum', '5.9K']"
72,DAOHQ - Illuvinati Governance DAO,['Gaming'],"Illuvium is an open-world fantasy battle game built on the Ethereum blockchain. Often touted as the first AAA game on Ethereum, Illuvium looks to provide a source of entertainment to both casual gamers and hardcore DeFi fans through a range of collecting and trading features.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '547.1K']"
73,DAOHQ - Framework Ventures DAO,"['DAO Tools', 'DeFi', 'Investment']","Thesis-driven crypto venture firm that builds alongside our founders
 We partner with founders and teams to build token-based networks and develop the requisite cryptoeconomics, governance, and community to scale.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '43.4K']"
74,DAOHQ - ichi.farm DAO,['0x11111...bc4d6'],"Empowering Crypto Projects With Community-Controlled DeFi.
 ICHI is a Decentralized Autonomous Organization (DAO) that gives crypto projects the tools they need to participate in DeFi more efficiently.
",['About'],['4.3K']
75,DAOHQ - Anoma DAO,"['DAO Tools', 'Social', 'Protocol']","A sovereign, proof-of-stake blockchain that enables private, asset-agnostic bartering among any number of parties.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '47.6K']"
76,DAOHQ - Okcoin DAO,['DeFi'],"Global cryptocurrency exchange with the lowest fees around
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Polygon', '176.8K']"
77,DAOHQ - Mr. Bojangles DAO,['Collector'],"Environmentally charitable frictionless yield farming protocol that is designed to incentivize $Sleepy Sloth’s to hold due to its burn & redistribution mechanism.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '6.8K']"
78,DAOHQ - CharmVerse DAO,"[' mverse.io Discord  Twitter ', ' mverse.io', ' Discord ', ' Twitter ']","CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals.
 CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals. It is a place for team contributors to coordinate day-to-day work, sign in with crypto wallets, and unlock workspaces with tokens/NFTs.
",[],[]
79,DAOHQ - Bunny DAO,['DeFi'],"Bunny is a Defi Yield Farming Aggregator and Optimizer for the Binance Smart Chain and Polygon.
 The greater ecosystem of decentralized finance (DeFi), particularly the yield aggregators, experienced very significant growth in 2020. From there, optimization opportunities emerged that the team felt poised to innovate upon.
The Bunny protocol was created to provide users with an easy way to automatically compound the returns of their investments made through the Binance BSC Smart Chain (BSC) and more recently the Polygon Chain.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Binance', '21.7K']"
80,DAOHQ - NPC Guild DAO,"[' opensea.io/collection/npc%E2%80%A6 Twitter ', ' opensea.io/collection/npc%E2%80%A6', ' Twitter ']","The NPC Guild handles all matters relating to NPCs in the metaverse.
",[],"['Polygon', '82.0']"
81,DAOHQ - Shibuya DAO,"[' www.shibuya.xyz Discord  Twitter ', ' www.shibuya.xyz', ' Discord ', ' Twitter ']","Shibuya is a decentralized film distribution platform
",[],['3.3K']
82,DAOHQ - PUBE DAO,['Social Impact'],"PUBE Finance DAO
 The PUBE Finance Protocol is a community-driven, fair-launched DeFi token with a focus on charity.
We envisage a future where everyone can pay with pubes.
On each transaction, two simple functions occur: holders earn free tokens (reflection) and the liquidity pool grows. Join us on our journey to the moon while making the world a better place.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Binance', '3.3K']"
83,DAOHQ - Unlock Protocol DAO,"['Collector', 'Protocol']","Ʉnlock is an open source protocol for memberships as NFTs!
 Unlock is meant to help creators find ways to monetize without relying on a middleman. It’s a protocol — and not a centralized platform that controls everything that happens on it.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",[]
84,DAOHQ - Social Impact DAO LLC DAO,['Social Impact'],"To empower communities through disrupting and revolutionizing how “treatment” of substance use disorders, mental health, and housing for homelessness occurs.  Bringing state-of-the-art technology to empowerment, healing, and consequently sobriety.
 By shifting profits from the substance use disorders and mental health treatment industry, we can subsidize the healing aspects of how to support people and communities with needed resources, addressing social determinants of health, including housing.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']",['26.0']
85,DAOHQ - Mint Fund DAO,"[' themint.fund Discord  Twitter ', ' themint.fund', ' Discord ', ' Twitter ']","Community-owned initiative helping crypto creators mint their first NFTs → http://discord.gg/6gkQbSENKQ
 Mint Fund is a community project created with the sole purpose to build a support network for artists interested in bringing their art into the world of crypto as NFTs.
We provide creators with the funds (known as gas costs) needed to mint their first NFT. The team also offers guidance, mentorship, and advice for our growing community of creators.
The fund is accessible to all creators, though we prioritize BIPOC and LGBTQIA+ creators, especially outside of North America and the European Union.
We’ve received an overwhelming amount of applications to join the Mint Fund. We are currently reviewing submissions and will notify accepted artists about next steps. Thank you to the community for your support of the Mint Fund and we hope to be able to open up rolling applications again soon
",[],"['Ethereum', '8.3K']"
86,DAOHQ - CronoSports DAO,"['Entertainment', 'Gaming']","Welcome to the first DAO protocol innovating the Methodology through Zero Loss Betting
 CronoSports is the only platform where your privacy and fun walk side by side. The best web3 Sports & Esports betting platform driven by the community. Instant withdrawals and deposits, never leaving you in the lurch. Come bet on chain with us!
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['321.0']
87,DAOHQ - SafePal DAO,"['DeFi', 'Investment']","1st Tokenized Crypto Hardware Wallet Backed by @Binance $SFP Token
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['66.8K']
88,DAOHQ - DeGate DAO,['Protocol'],"A fairly launched, DAO-centric, Ethereum Layer 2 trading protocol. Make Decentralized Exchange Mainstream
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '22.3K']"
89,DAOHQ - Refraction DAO,"['Social', 'Media']","We’re a community of diverse music, art, and culture enthusiasts who will own a festival, ongoing events, and spaces worldwide.
 Refraction is a diverse community who produce festivals and ongoing events, release NFT projects, and create written, visual, and audio content around art, culture, and music today. This year’s festival will happen across the globe, with the performances, installations and music sets being recorded to culminate in an extended festival in the Open Metaverse.
","['1Hive', '8DAO', '4k', 'ACryptoS']",['1.9K']
90,DAOHQ - Nifty's DAO,"['Service', 'Collector']","Social NFT platform
 We will not rest until 1 billion people are collecting NFTs.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '103.3K']"
91,DAOHQ - Balancer DAO,"['DeFi', 'Investment']","Platform for programmable liquidity
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '131.3K']"
92,DAOHQ - Thor Financial DAO,"[' www.thor.financial Discord  Twitter ', ' www.thor.financial', ' Discord ', ' Twitter ']","Next Generation Hybrid Protocol on the Avalanche Ecosystem. Battling for the highest yields across the chains.
",[],[]
