Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
10,DAOHQ - Movie Studio DAO,"[' www.moviestudiodao.xyz Discord  Twitter  Whitepaper ', ' www.moviestudiodao.xyz', ' Discord ', ' Twitter ', ' Whitepaper ']","The filmmaker’s crypto fundraising launchpad.
",[],['1.2K'],['launchpad' 'filmmaker' 'crypto'],[]
11,DAOHQ - 4k DAO,['Social'],"A permissionless marketplace for NFTs backed by physical assets––where users can mint NFTs that represent ownership of their physical assets.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '4.1K']","['physical assets––where users' 'permissionless marketplace' 'nfts'
 'physical assets' 'ownership']",['permissionless marketplace' 'physical assets']
12,DAOHQ - Eboos DAO,"[' www.eboosnft.com Discord  Twitter ', ' www.eboosnft.com', ' Discord ', ' Twitter ']","A collection of 8,192 sleepless birds living on the Ethereum blockchain.
",[],['3.5K'],['ethereum blockchain' 'collection' 'sleepless birds'],['Ethereum blockchain']
13,DAOHQ - Pixel Heroes DAO,"[' www.pixelheroes-dao.com Discord  Twitter ', ' www.pixelheroes-dao.com', ' Discord ', ' Twitter ']","Japan’s first generative collection. A place where everyone can be a hero. We are looking for you.
",[],['2.1K'],['everyone' 'first generative collection' 'place' 'japan' 'hero'],[]
14,DAOHQ - Silo Finance DAO,"[' www.silo.finance', ' www.silo.finance']","Providing secure money markets for all crypto assets.
",[],[],['secure money markets' 'crypto assets'],['crypto assets' 'secure money markets']
15,DAOHQ - Stakeborg DAO,"[' www.stakeborgdao.com', ' www.stakeborgdao.com']","Stakeborg DAO plans to build a fully functional & profitable digital colony.
",[],[],['stakeborg dao' 'profitable digital colony'],['borg' 'digital colony']
16,DAOHQ - Governauts DAO,['Social'],"We share a common purpose of research into many dimensions of governance and token systems!
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '1.1K']","['governance' 'many dimensions' 'common purpose' 'research'
 'token systems']",['governance' 'token systems']
17,DAOHQ - Spartacus DAO,"[' spartacus.finance/# Discord  Twitter ', ' spartacus.finance/#', ' Discord ', ' Twitter ']","DeFi 2.0 tools to grow your crypto assets
",[],['Fantom'],['tools' 'defi' 'crypto assets'],['crypto assets']
18,DAOHQ - TAG DAO LLC DAO,['Gaming'],"TAG DAO LLC (CollarQuest) - A Fully Community-Organized NFT Gaming Experience
 The Dog Collar Metaverse game project under development has been dubbed CollarQuest. CollarQuest will be a fun and engaging game which can be played on any desktop, laptop, or device.
","['About', 'Aurory', 'Blockade Games', 'Collar Informer', 'BreederDAO']","['Polygon', '1.8K']","['desktop' 'dog collar metaverse game project' 'device' 'development'
 'laptop' 'engaging game' 'collarquest' 'community'
 'nft gaming experience' 'fun' 'tag dao llc']",['CollarQuest' 'Dog Collar Metaverse game']
19,DAOHQ - Data Union DAO,"['DAO Tools', 'Protocol']","We want to be at the centre of the Data Union Ecosystem, empowering builders to launch Data Unions by providing them with the technology, mentorship & funding opportunities.
 The DAO is an open community of builders and UNION token holders. It is responsible for developing the Data Union Framework technology and growing the ecosystem. It governs the technology and UNION token economics via token-based voting.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '368.0']","['dao' 'token' 'ecosystem' 'funding opportunities' 'union' 'voting'
 'data unions' 'mentorship' 'data union framework technology'
 'token holders' 'builders' 'centre' 'open community'
 'data union ecosystem' 'technology' 'economics']","['DAO' 'Data Union' 'Data Union Ecosystem' 'The' 'UNION token economics'
 'UNION token holders']"
20,DAOHQ - Civilization DAO,"['DeFi', 'Social']","The world’s first DEX (Decentralized) Fund: transforming Defi staking and investment, using 100% auditable code and automated multi-strategy selection – giving maximum yield at minimum risk with superb ease of use
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '18.5K']","['fund' 'minimum risk' 'superb ease' 'use' 'investment' 'first dex' '%'
 'maximum yield' 'decentralized' 'auditable code' 'world'
 'multi - strategy selection' 'defi staking']",['Defi staking' 'auditable code' 'investment' 'maximum yield']
21,DAOHQ - Hector Finance DAO,"['DeFi', 'Gaming', 'Investment', 'Metaverse', 'Service', 'Social Impact', 'Venture Capital']","Hector Finance is a decentralized protocol based on the HEC token. We are developing an ecosystem which will consist of various innovative developments and applications that will set us apart from the competition. Hector is community guided with $HEC holders deciding the future.
 Hector Finance is creating a suite of use cases which will provide true utility to the $HEC token.
Profits from the ecosystem will be used to buyback and burn tokens from the open market,
allowing $HEC to be deflationary over time.
Hector Finance operates the world’s first deflationary rebase token. This means that those who stake our
native $HEC token receive rewards from rebases, as well as the inherent rewards of a deflationary token.
Our token supply peaked at 3,530,424. Within two months of setting the goal of becoming deflationary
we achieved a 14% reduction in the total supply of HEC tokens.
In the final quarter of 2021, Hector Finance built a treasury of more than $100,000,000 in stablecoins
by offering bonds of the HEC token at a discount to market prices. We now have one of the largest
development funds of any project in the space. We are using those funds to develop a suite of products
and services to aid the expansion of the Hector Ecosystem. Whilst not in use, the majority of the treasury
is invested. Assuming moderate performance of these investments, we can accumulate more than
$10,000,000 per year from interest alone into the treasury to support further development costs.
On March 29th 2022, the Hector Finance Community voted to begin an emission plan which will create
a fixed supply cap for the HEC token.
The progression of the emission plan means we can guarantee how many tokens will be minted as
well as guarantee a supply cap for HEC whilst still making predictable changes to the APY over time.
Additionally, the plan allows us to invite users to lock their tokens for a boosted reward, reducing selling
pressure.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Fantom'],"['rebases' 'open market' 'many tokens' 'hec' 'true utility' 'deflationary'
 'treasury' 'hector ecosystem' 'further development costs' 'time'
 '% reduction' 'progression' 'users' 'use cases' 'hec tokens'
 'various innovative developments' 'interest' 'future' 'products'
 'boosted reward' 'rewards' 'supply cap' 'competition'
 'first deflationary rebase' 'hector' 'majority' 'discount' 'community'
 'project' 'world' 'plan' 'march 29th' 'hector finance' 'market prices'
 'token supply' 'applications' 'final quarter' 'bonds' 'hec holders'
 'funds' 'emission plan' 'stablecoins' 'months' 'suite' 'tokens' 'space'
 'moderate performance' 'apy' 'investments' 'goal' 'use' 'ecosystem'
 'expansion' 'year' 'hec token' 'development funds' 'services'
 'predictable changes' 'protocol' 'profits' 'inherent rewards'
 'total supply' 'pressure' 'hector finance community']","['Hector Finance' 'bonds' 'decentralized protocol'
 'deflationary rebase token' 'emission plan' 'fixed supply cap' 'interest']"
22,DAOHQ - JINN DAO,['Protocol'],"JINN DAO invests in early-stage projects and promising inidividuals in the NFT space. It is the community DAO for Enjin, which BUIDLs gaming, arts, infrastructure and other NFT products, including a wallet and a marketplace.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '551.4K']","['infrastructure' 'enjin' 'jinn dao' 'wallet' 'other nft products'
 'community dao' 'gaming' 'inidividuals' 'nft space' 'stage projects'
 'arts' 'marketplace']",['JINN DAO' 'community DAO' 'gaming' 'marketplace' 'wallet']
23,DAOHQ - Polymath DAO,"['DAO Tools', 'DeFi']","Decentralized protocol that operates on the Ethereum
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '76.3K']",['ethereum' 'decentralized protocol'],['Decentralized protocol' 'Ethereum']
24,DAOHQ - Closer DAO,"['Protocol', 'Social']","Upcoming social hub for communities, micro and large scale DAOs, their governance and user identity management
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '611.0']","['upcoming social hub' 'governance' 'large scale daos'
 'user identity management' 'communities']",['governance' 'social hub' 'user identity management']
25,DAOHQ - AladdinDAO,['Service'],"Farm with DeFi Big Brains
http://aladdin.club
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '17.8K']",['farm' 'defi big brains'],[]
26,DAOHQ - HoneyDAO,['Service'],"HoneyDAO is a collective of influencers, investors, developers and founders working towards improving DeFi, one project at a time.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '4.0K']","['influencers' 'founders' 'developers' 'time' 'investors' 'honeydao'
 'project' 'defi' 'collective']",['DeFi' 'HoneyDAO']
27,DAOHQ - Hop Protocol DAO,"['DAO Tools', 'DeFi']","Protocol for sending tokens across rollups and their shared layer-1 network in a quick and trustless manner
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '121.0K']",['trustless manner' 'protocol' 'tokens' 'rollups' 'network'],[]
28,DAOHQ - LONDON NIGHT CLUB DAO,"[' london.pob.studio Discord  Twitter ', ' london.pob.studio', ' Discord ', ' Twitter ']","THE PARTY NEVER STOPS
 London DAO is a passionate community of degens collaborating to design artful experiences that celebrate innovation in Ethereum culture. Working at the intersection of new technologies, art, and the exploration of significant moments in blockchain history, our vision is to be a champion of ETH culture, supporting the growth of projects and useful tools, and highlighting influential artists.
",[],['5.1K'],"['innovation' 'passionate community' 'vision' 'blockchain history'
 'intersection' 'champion' 'degens' 'projects' 'growth' 'useful tools'
 'significant moments' 'ethereum culture' 'london dao' 'eth culture'
 'exploration' 'artful experiences' 'party' 'art' 'new technologies'
 'influential artists']",['DAO' 'ETH culture' 'Ethereum culture' 'blockchain history' 'degens']
29,DAOHQ - ARCx DAO,"['Protocol', 'DeFi']","A decentralized scoring protocol that powers on-chain identity through the issuance of a DeFi Passport
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '17.8K']","['chain identity' 'decentralized scoring protocol' 'defi passport'
 'issuance']",['DeFi Passport' 'decentralized scoring protocol']
30,DAOHQ - Blu3 DAO,"['Social', 'Social Impact']","Empowering women, nonbinary, and allies to learn, earn, and play in web3 to achieve financial freedom
 Blu3 DAO’s mission is to empower women to achieve financial freedom through learning, exploring and building their careers in the Web3 space. Our goal is to grow and diversify the crypto ecosystem by focusing on an end-to-end solution that is fair and frictionless. This includes onboarding, education and direct deployment of women talents into Web3 – as users and leaders. We are an ALL-inclusive DAO, and open our arms to women, non-binary, and allies.
","['About', '4k', 'ACryptoS', '1Hive', '8DAO']",['720.0'],"['blu3 dao' 'direct deployment' 'users' 'end' 'web3' 'women talents'
 'mission' 'end solution' 'education' 'nonbinary' 'web3 space'
 'financial freedom' 'allies' 'goal' 'women' 'arms' 'leaders' 'learning'
 'crypto ecosystem' 'inclusive dao' 'careers']","['Blu3 DAO' 'Web3' 'allies' 'crypto ecosystem' 'financial freedom'
 'non-binary' 'nonbinary' 'web3' 'women']"
31,DAOHQ - HeroBabiesClubDAO,"[' herobabiesclub.com Discord  Twitter ', ' herobabiesclub.com', ' Discord ', ' Twitter ']","1st “stake to redeem” NFT Project, redeem coolest web3.0 products out there!
",[],['649.0'],['nft project' 'redeem coolest' 'products' 'stake'],['NFT Project']
32,DAOHQ - Panda Paradise DAO,"['Collector', 'Social']","A collection of 8,888 unique, randomly generated Panda Humanoids adventuring on the Ethereum blockchain as ERC-721 NFTs
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '27.3K']",['panda humanoids' 'erc-721 nfts' 'ethereum blockchain' 'collection'],['Ethereum blockchain' 'Panda Humanoids']
33,DAOHQ - dOrg DAO,['Service'],"dOrg is a full-stack Web3 development collective, rewarding for reputation and product use.
 
dOrg is an autonomous collective of engineers, designers, and other web3
specialists. We build tools that empower people to self-organize.


dOrg aims to become the best service provider, workplace, and example of what is
possible to achieve with web3 technology.


We are working to realize the web3 vision of a decentralized internet that
empowers individuals and communities everywhere.


Read more about dOrg on our Handbook https://docs.dorg.tech/


Mission & Vision 


We envision a future where power is radically decentralized – people can easily
coordinate and transact without intermediaries; institutions are transparent and
responsive to the needs of their constituents; voluntary collectives outcompete
coercive monopolies; wealth is fairly distributed; and machines handle the
boring work while humans focus on meaningful pursuits.


We believe that web3 will be a key part of this future and we’re here to build
it.


Values

","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']",['4.2K'],"['power' 'product use' 'handbook https://docs.dorg.tech/' 'web3 vision'
 'values' 'designers' 'future' 'web3' 'stack web3 development collective'
 'vision' 'workplace' 'people' 'other web3' 'intermediaries' 'humans'
 'best service provider' 'mission' 'example' 'wealth' 'boring work'
 'internet' 'meaningful pursuits' 'engineers' 'individuals'
 'autonomous collective' 'voluntary collectives' 'transact' 'machines'
 'coercive monopolies' 'self' 'key part' 'reputation' 'web3 technology'
 'constituents' 'dorg' 'communities' 'tools' 'needs' 'institutions'
 'specialists']",['dOrg' 'decentralized internet' 'reputation']
34,DAOHQ - Raccoon & Boar Mafia DAO,['Collector'],"NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '19.7K']",['nft collection'],['NFT collection']
35,DAOHQ - SubDAO,['DAO Tools'],"Make DAO easier to use and more powerful
","['88mph', 'APY Vision', '0x', '1inch Network']",['114.0K'],['dao'],[]
36,DAOHQ - X World Games DAO,"['Gaming', 'Collector']","Makes XWG token holders decide the platform governance policy or the next in-game development, including reward mechanisms and tokenomic systems
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Binance', '437.9K']","['game development' 'platform governance policy' 'tokenomic systems' 'xwg'
 'holders' 'reward mechanisms']","['XWG token holders' 'platform governance policy' 'reward mechanisms'
 'tokenomic systems']"
37,DAOHQ - Pixelglyph DAO,['Collector'],"A set of 10,000 unique on-chain avatar NFTs created using a cellular automaton on the Ethereum blockchain
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '5.6K']",['ethereum blockchain' 'cellular automaton' 'set' 'chain avatar nfts'],['Ethereum blockchain' 'cellular automaton']
38,DAOHQ - KudasaiDAO,['Social'],"Crypto Community KUDASAI JP
","['1Hive', '8DAO', '4k', 'ACryptoS']",['34.2K'],['crypto community kudasai jp'],['Crypto Community']
39,DAOHQ - Shabu Town DAO,"['Gaming', 'Metaverse', 'Social', 'Media']","A new metaverse  where crypto fans can meet new friends, hang out, have fun, play games, find new projects, etc.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '11.1K']","['fun' 'new metaverse' 'new friends' 'new projects' 'play games'
 'crypto fans']",['crypto' 'metaverse']
40,DAOHQ - Trojan DAO,"['DAO Tools', 'DeFi']","A fork of Moloch to serve art experiments bridging web3 and IRL.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.7K']",['irl' 'moloch' 'art experiments' 'fork' 'web3'],['Moloch']
41,DAOHQ - Gilded DAO,"['DAO Tools', 'Protocol', 'DeFi', 'Service']","Allows blockchain powered businesses effortlessly accept payments, pay team members, and deliver on financial reporting requirements
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '2.1K']","['payments' 'financial reporting requirements' 'pay team members'
 'businesses']",['blockchain' 'financial reporting requirements' 'payments']
42,DAOHQ - Lobby DAO,['0xac042...f875b'],"Join the fight against harmful crypto regulations.
",[],['940.0'],['fight' 'harmful crypto regulations'],['crypto regulations']
43,DAOHQ - Kleros DAO,['Protocol'],"A decentralized arbitration protocol for disputes in the web3 economy
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '41.3K']",['disputes' 'web3 economy' 'arbitration protocol'],['decentralized arbitration protocol' 'web3 economy']
44,DAOHQ - Vader Protocol DAO,['DeFi'],"The Father of Decentralized Liquidity
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '9.4K']",['father' 'decentralized liquidity'],['Decentralized Liquidity']
45,DAOHQ - Kaiju Queenz Genesis DAO,"[' www.kaijuqueenz.co Discord  Twitter ', ' www.kaijuqueenz.co', ' Discord ', ' Twitter ']","3,333 Kaiju Queenz enter the metaverse.
",[],[],['kaiju queenz' 'metaverse'],[]
46,DAOHQ - Futera United DAO,"[' www.futeraunited.com Discord  Twitter ', ' www.futeraunited.com', ' Discord ', ' Twitter ']","‘1 of 1’ digital football cards that let YOU manage a real club, from the world famous creator of sports cards at Futera!
",[],['1.3K'],"['futera' 'sports cards' 'real club' 'digital football cards' 'world'
 'famous creator']",['digital football cards']
47,DAOHQ - 88mph DAO,"['DAO Tools', 'DeFi']","the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '21.4K']",['chain protection measures' 'best place' 'yield rate' 'assets'],['fixed yield rate']
48,DAOHQ - PieDao,"['Protocol', 'DeFi', 'Social']","Asset allocation DAO for decentralized market-weighted portfolio allocations
 PieDAO is a community DAO focused on tokenising automated wealth creation strategies. The DAO’s first line of products are Balancer Smart Pools, constant weight index funds, PieVaults, yield-generating tokenized portfolio allocations with productive assets, and The Oven, a system that allows users to save gas on expensive transactions by batching them together.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '24.0K']","['piedao' 'users' 'asset allocation dao' 'productive assets' 'yield'
 'products' 'market' 'dao' 'community dao' 'constant weight index funds'
 'pievaults' 'portfolio allocations' 'gas' 'system' 'oven' 'first line'
 'balancer smart pools' 'expensive transactions'
 'wealth creation strategies']","['Balancer Smart Pools' 'PieDAO' 'PieVaults' 'The Oven' 'community DAO'
 'constant weight index funds' 'productive assets'
 'tokenized portfolio allocations']"
49,DAOHQ - TRON DAO,['DAO Tools'],"DECENTRALIZE THE WEB
 DECENTRALIZE THE WEB
","['88mph', 'APY Vision', '0x', '1inch Network']","['Binance', '43.0K']",['web' 'decentralize'],[]
50,DAOHQ - Socean DAO,['DeFi'],"The best risk-free yields on Solana
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Solana', '2.5K']",['best risk' 'free yields' 'solana'],[]
51,DAOHQ - Hypha DHO DAO,"[' discord.com/invite/Gx3rmYfjaV Discord  Twitter ', ' discord.com/invite/Gx3rmYfjaV', ' Discord ', ' Twitter ']","A DAO based on holacratic and sociocratic principles. Fee-free on-chain governace. Roles, Assignments, contribution requests and treasury management.
",[],"['Bitcoin', '1.5K']","['assignments' 'dao' 'fee' 'chain governace' 'roles'
 'contribution requests' 'sociocratic principles' 'treasury management']","['Assignments' 'DAO' 'Roles' 'contribution requests'
 'sociocratic principles' 'treasury management']"
52,DAOHQ - Hubble DAO,['DeFi'],"Multi-collateral/Cross-Margin Perpetual Futures on Avalanche
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '7.6K']",['avalanche' '- margin perpetual futures' 'cross'],['Avalanche']
53,DAOHQ - Union DAO,"['DeFi', 'Protocol', 'Investment']","Union enables any wallet address to lend, borrow, or build credit onchain in a permission-less, crypto-native way.
 Union is a member-owned credit protocol built on Ethereum, in which members can underwrite lines of credit to other member addresses. The protocol itself is not an underwriter of risk, but rather a mechanism to lower the cost of coordinating trust into available credit. Get vouches to borrow, lend to friends and vote to define the future of Union.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Arbitrum'],"['member' 'risk' 'mechanism' 'cost' 'future' 'lines' 'wallet address'
 'union' 'underwriter' 'vouches' 'ethereum' 'native way' 'permission'
 'other member addresses' 'available credit' 'friends' 'trust' 'members'
 'credit protocol' 'protocol' 'credit']",['Ethereum' 'Union' 'wallet address']
54,DAOHQ - CityDAO,['Social'],"Building a city on the ethereum blockchain, starting by collectively buying land in Wyoming using the new Wyoming DAO LLC law.
 CityDAO is building the city of the future on the ethereum blockchain by tokenizing land, rights, and governance.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '60.6K']","['new wyoming dao llc law' 'governance' 'wyoming' 'future' 'citydao'
 'city' 'ethereum blockchain' 'land' 'rights']",['CityDAO' 'Wyoming DAO LLC law' 'ethereum blockchain']
55,DAOHQ - 0x DAO,['DAO Tools'],"Decentralized exchange infrastructure for the internet
 Decentralized exchange infrastructure for the internet","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '284.2K']",['exchange infrastructure' 'internet'],['Decentralized exchange infrastructure' 'internet']
56,DAOHQ - MatrixDAO,"['Investment', 'Venture Capital']","MatrixDAO is a community-driven research DAO that aims to explore emerging investment opportunities in Web 3.0.
 We integrate the wisdom and resources of the DAO’s members to accelerate our portfolios, shifting the paradigm of crypto investments from venture capital to collaborative contributions from the community.
","['About', 'AngelDAO', '8DAO', '80Acres DAO', 'Alpha Finance Lab']",[],"['collaborative contributions' 'resources' 'paradigm' 'dao ’s members'
 'web' 'wisdom' 'matrixdao' 'portfolios' 'community' 'crypto investments'
 'venture capital' 'investment opportunities' 'research dao']",['MatrixDAO' 'crypto investments' 'venture capital']
57,DAOHQ - AstroDAO,"['DAO Tools', 'Service']","Launch your DAO in less than 10 minutes without a line of code.
","['88mph', 'APY Vision', '0x', '1inch Network']","['NEAR', '204.0']",['line' 'code' 'dao' 'minutes'],[]
58,DAOHQ - BuidlersTribe DAO,"['Investment', 'Venture Capital']","Decentralize advisory and early investments
 A high-trust network of buidlers
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Polygon', '1.4K']",['advisory' 'early investments' 'trust network' 'buidlers'],['buidlers' 'early investments']
59,DAOHQ - Scalar Capital DAO,['Venture Capital'],"A hedge fund company specializing in cryptoassets.
","['Audacity Fund', 'ForceDAO', 'Carib DAO', 'BuidlersTribe']","['Ethereum', '14.8K']",['hedge fund company' 'cryptoassets'],['cryptoassets' 'hedge fund company']
60,DAOHQ - Planet Finance DAO,"['Protocol', 'DeFi']","Financial protocol consisting of different planets, each their own app, designed to enable anyone to activate their capital and put it to work
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '7.8K']",['financial protocol' 'anyone' 'capital' 'own app' 'different planets'],['Financial protocol']
