age,gender,country,city,income,blockchains,category,choice
22,other,US,Los Angeles,55000,"['Cardano', 'Avalanche']","['music', 'travel', 'finance']",Techno ElectronicDanceMusic DubstepThe Caravan/RV Road Trip Volunteer TravelInsurance
34,other,India,Ahmedabad,35000,[],"['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B) CountryCricketFantasyThe Group Tour Volunteer Travel The Caravan/RV Road TripInsurance Tax/Audit Consulting
19,female,India,Ahmedabad,35000,['Solana'],"['music', 'sports', 'travel', 'finance']",RhythmandBlues(R&B) CountryTennis VolleyballVolunteer Travel Business Travel Long Term Slow TravelWealth Management Mutual Funds Stock Market
74,other,UK,Newcastle,25000,"['Solana', 'Flow', 'Avalanche']","['music', 'books']",RockFantasy
30,female,India,Mumbai,70000,"['Avalanche', 'Bitcoin']","['sports', 'books', 'finance']",Basketball VolleyballMysteriesBanking Stock Market Tax/Audit Consulting
75,male,US,Dallas,80000,['Cardano'],"['sports', 'books', 'travel', 'finance']",Table Tennis CricketThrillersBusiness Travel The Package Holiday Long Term Slow TravelInsurance
29,male,US,Houston,25000,"['Cardano', 'Avalanche', 'Ripple']","['music', 'books', 'travel', 'finance']",Dubstep PopMysteries RomanceVolunteer Travel The Gap Year Event TravelProfessional Advisory Insurance
24,female,UK,Southampton-Portsmouth,35000,"['Solana', 'Ripple']","['music', 'sports', 'books', 'travel', 'finance']",RockBadmintonHistorical FictionVolunteer Travel The Caravan/RV Road Trip Business TravelStock Market Professional Advisory Mutual Funds
47,male,US,Chicago,70000,"['Binance Smart Chain', 'Cardano']","['music', 'sports', 'books', 'travel', 'finance']",Rock Pop JazzTennis Table TennisHistorical FictionThe Weekend BreakBanking Stock Market
87,female,India,Hyderabad,90000,[],['books'],Mysteries Thrillers Historical Fiction
86,other,UK,London,85000,[],"['sports', 'books', 'travel', 'finance']",Basketball Field HockeyMysteries RomanceVolunteer TravelInsurance Treasury/Debt Instruments
68,male,US,NewYorkCity,45000,['Cardano'],"['music', 'sports', 'books']",ElectronicDanceMusicSoccer/football TennisFantasy Historical Fiction
51,other,US,NewYorkCity,65000,['Ripple'],"['sports', 'books', 'travel', 'finance']",Tennis Badminton CricketRomance FantasyThe Package Holiday The Weekend BreakInsurance
40,other,India,Bangalore,95000,[],"['music', 'sports', 'books', 'travel', 'finance']",PopCricket Badminton BasketballHistorical Fiction Science FictionBusiness Travel Long Term Slow Travel Volunteer TravelTreasury/Debt Instruments Stock Market Wealth Management
46,other,UK,Leeds-Bradford,110000,"['Solana', 'Polygon', 'Bitcoin']","['music', 'sports', 'travel']",Jazz Rock CountryBasketball BadmintonThe Caravan/RV Road Trip The Package Holiday
83,male,US,Los Angeles,75000,['Ethereum'],"['music', 'sports', 'books', 'finance']",TechnoTable Tennis Field Hockey BasketballFantasy Historical Fiction ThrillersMutual Funds
19,other,US,NewYorkCity,80000,"['Cardano', 'Flow']","['music', 'sports', 'books']",DubstepSoccer/footballRomance Science Fiction
60,male,India,Pune,30000,[],"['music', 'sports', 'books', 'travel', 'finance']",DubstepField Hockey Soccer/footballFantasy Science Fiction ThrillersLong Term Slow Travel The Group TourMutual Funds Treasury/Debt Instruments Professional Advisory
97,other,India,Bangalore,85000,"['Cardano', 'Ripple', 'Avalanche']","['music', 'sports', 'books', 'travel']",Pop RhythmandBlues(R&B) ElectronicDanceMusicTable Tennis Field HockeyThrillersThe Caravan/RV Road Trip
71,male,UK,London,100000,"['Binance Smart Chain', 'Flow']","['music', 'sports', 'books', 'travel', 'finance']",Country Techno ElectronicDanceMusicTable Tennis Soccer/footballRomanceThe Package HolidayTax/Audit Consulting Stock Market Professional Advisory
67,male,US,Los Angeles,35000,"['Bitcoin', 'Avalanche']","['music', 'sports', 'books', 'travel', 'finance']",Techno Pop ElectronicDanceMusicTennisScience FictionEvent Travel The Gap YearTreasury/Debt Instruments Insurance
67,other,UK,Leeds-Bradford,70000,"['Binance Smart Chain', 'Solana']","['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B)Soccer/football Volleyball BadmintonRomance MysteriesVolunteer Travel Event TravelInsurance Tax/Audit Consulting Professional Advisory
35,male,US,Los Angeles,80000,"['Binance Smart Chain', 'Bitcoin']","['music', 'sports', 'books', 'travel']",Dubstep ElectronicDanceMusic JazzCricketFantasy Science Fiction Historical FictionVolunteer Travel The Caravan/RV Road Trip
28,female,UK,London,115000,"['Ripple', 'Cardano']","['music', 'sports', 'books', 'travel']",Rock JazzBadmintonMysteries Historical Fiction RomanceBusiness Travel Volunteer Travel Event Travel
37,other,UK,Birmingham-Wolverhampton,5000,['Cardano'],"['music', 'books']",Techno JazzScience Fiction Mysteries
52,female,UK,Southampton-Portsmouth,110000,"['Avalanche', 'Polygon']","['music', 'books', 'travel', 'finance']",Country Jazz PopRomance Thrillers Science FictionThe Group Tour Business TravelBanking Wealth Management
23,male,US,NewYorkCity,75000,"['Ripple', 'Solana']","['music', 'sports', 'books']",PopSoccer/football TennisScience Fiction
65,other,UK,Birmingham-Wolverhampton,90000,[],"['sports', 'books', 'travel', 'finance']",Field Hockey Badminton Table TennisRomanceThe Package HolidayWealth Management Banking Professional Advisory
33,male,US,Philadelphia,100000,[],"['books', 'travel', 'finance']",Historical FictionBusiness Travel Event Travel The Package HolidayTax/Audit Consulting
39,other,India,Hyderabad,15000,['Avalanche'],"['music', 'books', 'finance']",RhythmandBlues(R&B)Historical FictionProfessional Advisory Mutual Funds
49,male,US,Los Angeles,70000,['Solana'],"['music', 'sports', 'books', 'travel', 'finance']",Pop ElectronicDanceMusicBasketballFantasy Mysteries Historical FictionBusiness Travel Long Term Slow TravelMutual Funds
39,male,UK,Birmingham-Wolverhampton,70000,[],"['sports', 'books', 'finance']",Badminton Soccer/footballHistorical Fiction RomanceProfessional Advisory Tax/Audit Consulting
96,other,India,Kolkata,115000,"['Flow', 'Solana']","['sports', 'books', 'travel', 'finance']",Cricket Field Hockey Table TennisScience Fiction Historical FictionVolunteer Travel The Group Tour Long Term Slow TravelMutual Funds Banking Insurance
48,female,UK,Southampton-Portsmouth,40000,['Avalanche'],"['music', 'sports', 'books', 'travel', 'finance']",Country Dubstep RhythmandBlues(R&B)Table Tennis Tennis CricketRomance ThrillersThe Package Holiday The Group Tour The Caravan/RV Road TripWealth Management Professional Advisory
15,female,UK,Manchester,110000,['Polygon'],"['music', 'sports', 'books', 'travel', 'finance']",PopField HockeyScience Fiction Romance MysteriesVisiting FriendsMutual Funds Wealth Management
14,female,UK,London,15000,"['Solana', 'Polygon', 'Ripple']","['music', 'books']",CountryThrillers Mysteries Historical Fiction
94,other,UK,Newcastle,5000,"['Bitcoin', 'Ripple']","['music', 'sports', 'travel', 'finance']",PopTable Tennis Volleyball TennisLong Term Slow Travel The Gap YearTax/Audit Consulting
15,female,UK,Birmingham-Wolverhampton,10000,"['Cardano', 'Binance Smart Chain']","['music', 'books', 'travel', 'finance']",Country Rock ElectronicDanceMusicScience Fiction FantasyThe Group TourTax/Audit Consulting Treasury/Debt Instruments
46,male,India,Chennai,95000,"['Bitcoin', 'Flow', 'Ethereum']","['music', 'sports', 'finance']",ElectronicDanceMusic RhythmandBlues(R&B)Soccer/football Field HockeyProfessional Advisory Treasury/Debt Instruments Insurance
68,male,India,Mumbai,90000,"['Flow', 'Binance Smart Chain']","['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B) ElectronicDanceMusic DubstepBadmintonHistorical FictionThe Weekend Break Event TravelTax/Audit Consulting Stock Market
84,female,US,Philadelphia,65000,"['Cardano', 'Bitcoin']","['music', 'sports', 'books', 'finance']",ElectronicDanceMusic PopSoccer/footballRomance ThrillersTreasury/Debt Instruments Tax/Audit Consulting
85,male,India,Chennai,95000,['Solana'],"['music', 'books', 'finance']",ElectronicDanceMusicMysteries Historical Fiction FantasyInsurance
43,other,India,Ahmedabad,75000,[],"['sports', 'books', 'finance']",Table Tennis BasketballHistorical FictionTax/Audit Consulting Mutual Funds
54,other,India,Delhi,75000,"['Solana', 'Avalanche']","['music', 'sports', 'travel', 'finance']",Techno ElectronicDanceMusic RockTennisThe Package Holiday The Gap Year Long Term Slow TravelProfessional Advisory Treasury/Debt Instruments
72,male,UK,Newcastle,75000,"['Polygon', 'Ripple', 'Ethereum']","['music', 'sports', 'travel', 'finance']",Dubstep TechnoCricket Soccer/football VolleyballThe Weekend BreakInsurance
76,female,US,San Antonio,5000,['Cardano'],"['music', 'books', 'travel']",ElectronicDanceMusic DubstepMysteries Thrillers RomanceThe Weekend Break Volunteer Travel
61,female,UK,Southampton-Portsmouth,60000,['Cardano'],"['sports', 'travel', 'finance']",Table Tennis CricketVolunteer Travel The Gap Year The Group TourWealth Management
41,male,US,Los Angeles,35000,[],"['sports', 'travel', 'finance']",Basketball CricketThe Group Tour Visiting Friends The Caravan/RV Road TripInsurance Mutual Funds
24,male,US,NewYorkCity,100000,"['Cardano', 'Avalanche', 'Solana']","['music', 'books', 'travel', 'finance']",RhythmandBlues(R&B) RockFantasy Historical Fiction MysteriesVisiting Friends The Package Holiday Event TravelTax/Audit Consulting Banking
95,other,India,Kolkata,30000,['Cardano'],"['sports', 'travel', 'finance']",TennisThe Weekend Break Business TravelInsurance Professional Advisory Treasury/Debt Instruments
81,other,India,Chennai,75000,"['Bitcoin', 'Ripple']","['sports', 'books', 'travel', 'finance']",Cricket BadmintonThrillers Science Fiction FantasyThe Group Tour Volunteer Travel The Package HolidayTreasury/Debt Instruments Stock Market
99,male,UK,Newcastle,15000,[],"['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B) CountryVolleyball Badminton BasketballRomance Historical FictionVolunteer Travel Business TravelTax/Audit Consulting Professional Advisory
79,female,India,Delhi,65000,['Solana'],"['sports', 'books', 'travel']",Table Tennis BadmintonThrillers Mysteries RomanceBusiness Travel The Package Holiday The Gap Year
10,male,India,Chennai,100000,['Polygon'],"['sports', 'travel', 'finance']",CricketEvent Travel Business TravelMutual Funds Professional Advisory
51,male,US,Dallas,90000,"['Binance Smart Chain', 'Avalanche', 'Ethereum']","['sports', 'books', 'travel']",Soccer/footballRomanceThe Weekend Break Volunteer Travel Visiting Friends
40,male,India,Kolkata,90000,[],"['music', 'sports', 'books', 'travel', 'finance']",Pop Rock DubstepTable Tennis Field HockeyScience Fiction RomanceBusiness Travel Volunteer TravelBanking Insurance Professional Advisory
93,female,UK,Manchester,85000,[],"['music', 'sports', 'travel']",Dubstep JazzBadmintonEvent Travel The Gap Year The Weekend Break
78,female,UK,Birmingham-Wolverhampton,115000,[],"['music', 'sports', 'travel', 'finance']",JazzVolleyballThe Gap Year Event TravelTreasury/Debt Instruments Tax/Audit Consulting Mutual Funds
88,male,India,Bangalore,30000,"['Ripple', 'Cardano']",['music'],Techno RhythmandBlues(R&B) Jazz
72,other,UK,Southampton-Portsmouth,65000,"['Bitcoin', 'Cardano']","['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B) Country PopTennis Volleyball Soccer/footballFantasyThe Gap Year Event Travel The Package HolidayStock Market Mutual Funds Tax/Audit Consulting
51,male,India,Chennai,55000,"['Binance Smart Chain', 'Bitcoin', 'Flow']","['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B)Tennis Basketball Soccer/footballThrillersThe Weekend Break The Group Tour The Gap YearStock Market
78,other,UK,Liverpool,10000,[],"['music', 'sports', 'books', 'travel', 'finance']",Dubstep JazzBadminton Field HockeyHistorical FictionThe Gap Year Volunteer Travel Visiting FriendsProfessional Advisory Treasury/Debt Instruments Banking
39,other,UK,Leeds-Bradford,35000,"['Ripple', 'Binance Smart Chain', 'Bitcoin']","['music', 'sports', 'books', 'travel', 'finance']",Pop JazzSoccer/footballRomanceEvent Travel The Caravan/RV Road TripBanking Tax/Audit Consulting Professional Advisory
16,other,US,Phoenix,95000,[],"['sports', 'books', 'travel', 'finance']",BadmintonMysteries Fantasy RomanceEvent Travel The Caravan/RV Road Trip The Package HolidayProfessional Advisory Tax/Audit Consulting Insurance
74,female,India,Delhi,115000,"['Polygon', 'Bitcoin']","['music', 'sports', 'books']",CountrySoccer/football Field HockeyScience Fiction
21,other,US,Houston,35000,"['Ethereum', 'Ripple', 'Polygon']","['sports', 'books']",Badminton Table Tennis Soccer/footballMysteries Science Fiction
39,male,UK,Glasgow,10000,[],"['music', 'books', 'finance']",ElectronicDanceMusic TechnoHistorical FictionInsurance Professional Advisory
22,female,India,Mumbai,45000,[],"['sports', 'books', 'travel', 'finance']",Soccer/football Badminton VolleyballRomanceBusiness TravelTreasury/Debt Instruments Insurance Stock Market
38,other,US,Philadelphia,110000,"['Polygon', 'Bitcoin']","['music', 'books', 'travel', 'finance']",Jazz Dubstep CountryMysteries Historical Fiction FantasyThe Gap Year The Package HolidayTax/Audit Consulting Wealth Management
87,male,UK,Newcastle,105000,"['Avalanche', 'Ripple']","['books', 'travel', 'finance']",Mysteries Thrillers RomanceThe Caravan/RV Road Trip The Gap Year Event TravelProfessional Advisory Tax/Audit Consulting
40,other,UK,Manchester,105000,['Ripple'],"['music', 'sports', 'travel', 'finance']",RhythmandBlues(R&B) Jazz CountryTable TennisVolunteer Travel Visiting FriendsTax/Audit Consulting Banking Mutual Funds
16,female,UK,Glasgow,15000,"['Cardano', 'Ripple', 'Flow']","['music', 'books', 'travel']",RhythmandBlues(R&B) TechnoThrillersVisiting Friends The Package Holiday The Gap Year
97,female,India,Mumbai,75000,"['Flow', 'Polygon']","['music', 'sports', 'books', 'travel', 'finance']",Techno Jazz RockTennis Field HockeyFantasy Science Fiction RomanceThe Group Tour Long Term Slow TravelTreasury/Debt Instruments Insurance
86,male,US,Philadelphia,15000,['Binance Smart Chain'],"['music', 'sports', 'books', 'travel', 'finance']",ElectronicDanceMusicBadminton Soccer/footballFantasy Science Fiction Historical FictionBusiness TravelTreasury/Debt Instruments Mutual Funds Banking
76,female,UK,Newcastle,60000,"['Solana', 'Ripple', 'Avalanche']","['music', 'books', 'travel', 'finance']",Techno Rock CountryFantasy RomanceLong Term Slow Travel The Caravan/RV Road Trip The Package HolidayInsurance
11,female,India,Chennai,55000,"['Flow', 'Binance Smart Chain']","['music', 'sports', 'finance']",Techno PopBasketball Soccer/footballBanking Insurance
94,male,UK,Manchester,55000,"['Flow', 'Bitcoin', 'Binance Smart Chain']","['music', 'books', 'travel', 'finance']",Country ElectronicDanceMusic JazzFantasy Historical Fiction Science FictionThe Caravan/RV Road TripStock Market Mutual Funds Tax/Audit Consulting
75,male,India,Chennai,80000,[],"['music', 'sports', 'travel', 'finance']",CountryTable Tennis Field HockeyBusiness Travel Visiting FriendsProfessional Advisory Stock Market
49,male,UK,Southampton-Portsmouth,25000,"['Bitcoin', 'Ethereum', 'Binance Smart Chain']","['music', 'sports', 'finance']",Country ElectronicDanceMusic RhythmandBlues(R&B)Cricket Basketball TennisInsurance Professional Advisory Treasury/Debt Instruments
23,other,India,Hyderabad,10000,[],"['music', 'sports', 'finance']",Dubstep PopSoccer/football Cricket Table TennisProfessional Advisory
39,other,India,Bangalore,90000,"['Bitcoin', 'Ethereum']","['music', 'sports', 'finance']",PopBasketballTreasury/Debt Instruments Stock Market Insurance
39,female,US,Phoenix,105000,"['Cardano', 'Polygon', 'Binance Smart Chain']","['music', 'travel']",ElectronicDanceMusic PopEvent Travel Volunteer Travel
66,male,US,Phoenix,10000,"['Solana', 'Cardano', 'Bitcoin']","['music', 'sports', 'books', 'travel', 'finance']",Country RhythmandBlues(R&B) RockSoccer/footballHistorical Fiction Science FictionThe Gap YearStock Market Insurance
48,female,US,Houston,20000,"['Cardano', 'Polygon']","['music', 'sports', 'books', 'travel']",RhythmandBlues(R&B) ElectronicDanceMusicTable Tennis Soccer/football Field HockeyFantasy Romance ThrillersThe Package Holiday
63,male,UK,Glasgow,115000,"['Avalanche', 'Bitcoin', 'Ethereum']","['music', 'sports', 'books', 'travel', 'finance']",Country RockField HockeyMysteriesThe Gap Year The Caravan/RV Road TripInsurance
16,other,US,Dallas,115000,[],"['sports', 'travel']",Soccer/footballThe Gap Year Volunteer Travel The Group Tour
19,other,India,Hyderabad,40000,['Binance Smart Chain'],"['music', 'books', 'travel']",Dubstep Rock JazzMysteries Historical FictionBusiness Travel The Group Tour The Package Holiday
84,female,India,Ahmedabad,105000,['Cardano'],"['music', 'sports', 'finance']",TechnoCricket Field Hockey Table TennisStock Market Banking
84,female,India,Hyderabad,60000,"['Polygon', 'Ripple']","['sports', 'books', 'travel', 'finance']",Volleyball Cricket Field HockeyFantasyThe Caravan/RV Road TripStock Market Wealth Management
81,other,US,Phoenix,65000,[],"['music', 'sports', 'books', 'travel', 'finance']",Dubstep PopBasketball Cricket VolleyballRomance Fantasy Historical FictionEvent Travel Business TravelMutual Funds
20,other,UK,Glasgow,20000,"['Cardano', 'Avalanche']","['music', 'books', 'travel', 'finance']",RhythmandBlues(R&B) CountryMysteries Historical FictionThe Gap Year Business TravelWealth Management Treasury/Debt Instruments Stock Market
45,male,US,Los Angeles,95000,['Cardano'],"['sports', 'books', 'travel']",Soccer/footballRomance Thrillers FantasyThe Weekend Break The Group Tour
99,other,UK,London,30000,"['Binance Smart Chain', 'Bitcoin']","['music', 'sports', 'books', 'travel', 'finance']",Dubstep TechnoBasketball Badminton TennisMysteries Fantasy RomanceThe Weekend BreakProfessional Advisory Stock Market
89,other,India,Hyderabad,110000,"['Ethereum', 'Bitcoin', 'Cardano']","['music', 'sports', 'books', 'travel']",Techno CountrySoccer/footballMysteriesThe Group Tour
50,female,India,Kolkata,45000,"['Solana', 'Polygon']","['music', 'sports', 'books', 'travel', 'finance']",DubstepBadmintonFantasyThe Gap Year Volunteer TravelWealth Management Stock Market Treasury/Debt Instruments
83,other,UK,Birmingham-Wolverhampton,15000,[],"['music', 'sports', 'books', 'travel', 'finance']",PopTennis Badminton VolleyballHistorical Fiction Fantasy MysteriesBusiness Travel The Caravan/RV Road TripTreasury/Debt Instruments Wealth Management Tax/Audit Consulting
52,female,US,Houston,25000,['Solana'],"['music', 'sports', 'books']",CountryBasketball VolleyballMysteries
56,male,India,Hyderabad,90000,"['Ripple', 'Flow', 'Solana']","['music', 'sports', 'books', 'travel', 'finance']",Dubstep Country ElectronicDanceMusicTennis Table Tennis CricketThrillersThe Package Holiday Event TravelTreasury/Debt Instruments Tax/Audit Consulting
94,female,UK,Newcastle,5000,"['Flow', 'Ripple']","['music', 'sports', 'books', 'travel']",JazzField Hockey BadmintonRomance FantasyEvent Travel The Weekend Break The Group Tour
21,male,UK,Newcastle,105000,"['Bitcoin', 'Binance Smart Chain']","['books', 'travel', 'finance']",ThrillersVisiting FriendsTreasury/Debt Instruments Banking Wealth Management
73,male,US,NewYorkCity,15000,[],"['sports', 'travel', 'finance']",VolleyballThe Package Holiday Long Term Slow Travel The Gap YearMutual Funds Wealth Management Tax/Audit Consulting
71,other,India,Ahmedabad,95000,['Flow'],"['books', 'travel', 'finance']",Thrillers Science Fiction RomanceBusiness Travel The Gap YearStock Market Insurance
35,female,India,Hyderabad,75000,"['Polygon', 'Solana', 'Ripple']","['music', 'sports', 'travel', 'finance']",Jazz Pop TechnoSoccer/football Table Tennis CricketVisiting FriendsProfessional Advisory Tax/Audit Consulting
88,female,UK,Leeds-Bradford,10000,[],"['music', 'sports', 'books', 'travel', 'finance']",ElectronicDanceMusic PopVolleyballMysteries Science Fiction Historical FictionEvent Travel Long Term Slow Travel The Gap YearStock Market Mutual Funds Insurance
84,female,India,Hyderabad,60000,"['Ethereum', 'Cardano', 'Avalanche']","['music', 'sports', 'books', 'travel', 'finance']",Rock ElectronicDanceMusicBadminton Table TennisScience FictionThe Gap YearTreasury/Debt Instruments Insurance Stock Market
10,female,India,Delhi,25000,"['Avalanche', 'Ethereum', 'Binance Smart Chain']","['music', 'books', 'travel']",Rock JazzRomanceVisiting Friends The Package Holiday
43,female,India,Kolkata,60000,['Solana'],"['music', 'sports', 'travel', 'finance']",JazzBasketball TennisVisiting Friends The Caravan/RV Road TripWealth Management Professional Advisory
23,other,India,Ahmedabad,115000,"['Bitcoin', 'Ethereum', 'Solana']","['music', 'sports', 'books', 'finance']",DubstepSoccer/footballHistorical Fiction Fantasy ThrillersTreasury/Debt Instruments Banking Insurance
94,other,UK,Leeds-Bradford,90000,"['Cardano', 'Binance Smart Chain', 'Polygon']","['music', 'books', 'travel', 'finance']",Pop Dubstep ElectronicDanceMusicScience FictionVolunteer TravelTreasury/Debt Instruments Tax/Audit Consulting
33,female,India,Hyderabad,35000,[],"['music', 'travel', 'finance']",RockThe Weekend Break The Group TourProfessional Advisory
86,other,US,Philadelphia,90000,['Ripple'],"['music', 'sports', 'books', 'travel', 'finance']",Techno RhythmandBlues(R&B) DubstepBasketball Field HockeyRomance Historical Fiction Science FictionLong Term Slow Travel The Group Tour Volunteer TravelProfessional Advisory Treasury/Debt Instruments Banking
37,female,UK,Manchester,85000,"['Cardano', 'Solana', 'Ripple']","['music', 'sports', 'books', 'travel', 'finance']",DubstepTennis Basketball Field HockeyThrillers Historical FictionEvent Travel Volunteer Travel Visiting FriendsTax/Audit Consulting
80,male,India,Pune,75000,[],"['music', 'travel']",Rock Jazz DubstepVisiting Friends
48,female,US,Los Angeles,90000,"['Flow', 'Ethereum']","['music', 'books', 'travel', 'finance']",Dubstep RhythmandBlues(R&B) RockFantasy Historical FictionThe Caravan/RV Road TripMutual Funds
34,female,UK,Newcastle,115000,['Ripple'],"['music', 'sports', 'books', 'travel', 'finance']",Country Techno JazzBadminton Field HockeyRomance FantasyThe Package Holiday Volunteer TravelInsurance
42,male,India,Hyderabad,5000,['Ethereum'],"['music', 'books', 'finance']",Country Pop ElectronicDanceMusicThrillers FantasyTax/Audit Consulting Wealth Management
63,other,India,Kolkata,70000,['Bitcoin'],"['music', 'sports', 'books', 'travel', 'finance']",Pop Rock CountryVolleyball BasketballScience Fiction FantasyEvent TravelTax/Audit Consulting Mutual Funds
91,female,UK,Leeds-Bradford,110000,"['Solana', 'Ethereum']","['sports', 'travel', 'finance']",Badminton BasketballEvent Travel The Package HolidayBanking
78,female,UK,Liverpool,45000,['Ethereum'],"['music', 'sports', 'books', 'finance']",Jazz DubstepSoccer/football Field Hockey CricketFantasyMutual Funds Stock Market
35,other,UK,Manchester,105000,['Ethereum'],"['music', 'travel']",PopEvent Travel
38,male,India,Pune,70000,['Avalanche'],"['music', 'books', 'travel', 'finance']",Dubstep PopMysteries Science FictionThe Weekend Break Event TravelTreasury/Debt Instruments
67,male,India,Bangalore,40000,"['Binance Smart Chain', 'Bitcoin']","['music', 'sports', 'books', 'finance']",CountrySoccer/footballRomance Historical FictionStock Market Insurance Professional Advisory
93,female,UK,Manchester,115000,"['Flow', 'Binance Smart Chain']","['music', 'sports', 'books', 'travel', 'finance']",Dubstep TechnoField HockeyScience Fiction Historical Fiction FantasyThe Weekend Break The Group TourBanking Mutual Funds
98,other,UK,Birmingham-Wolverhampton,80000,"['Avalanche', 'Binance Smart Chain']","['music', 'sports', 'books', 'travel', 'finance']",PopTable TennisMysteriesVolunteer Travel The Weekend Break The Gap YearBanking
48,other,US,NewYorkCity,80000,['Ethereum'],"['music', 'books', 'travel', 'finance']",Techno ElectronicDanceMusicFantasyVisiting Friends The Weekend Break The Caravan/RV Road TripInsurance Professional Advisory
37,other,India,Chennai,70000,['Ripple'],"['music', 'sports', 'books', 'travel']",Dubstep ElectronicDanceMusic CountryBadminton BasketballHistorical Fiction Fantasy ThrillersThe Package Holiday Volunteer Travel The Caravan/RV Road Trip
71,female,US,San Antonio,60000,[],"['books', 'travel', 'finance']",Romance Historical Fiction ThrillersThe Weekend BreakInsurance Tax/Audit Consulting Treasury/Debt Instruments
17,female,UK,Leeds-Bradford,80000,"['Flow', 'Bitcoin', 'Binance Smart Chain']","['music', 'sports', 'books', 'travel', 'finance']",ElectronicDanceMusicVolleyballThrillersThe Caravan/RV Road Trip Long Term Slow TravelBanking
95,female,US,San Antonio,65000,[],"['sports', 'travel']",Soccer/football Field HockeyThe Weekend Break Long Term Slow Travel Volunteer Travel
13,female,US,NewYorkCity,20000,['Bitcoin'],"['music', 'sports', 'travel']",CountryTable TennisThe Caravan/RV Road Trip Volunteer Travel Event Travel
87,other,US,Philadelphia,40000,"['Ethereum', 'Ripple', 'Bitcoin']","['sports', 'books', 'finance']",Volleyball BadmintonFantasyMutual Funds Professional Advisory Wealth Management
56,male,UK,Leeds-Bradford,105000,[],"['sports', 'books', 'travel', 'finance']",Cricket Badminton VolleyballRomance MysteriesThe Group Tour The Weekend BreakMutual Funds Wealth Management
63,female,UK,Newcastle,30000,['Cardano'],"['music', 'sports', 'books']",ElectronicDanceMusic PopSoccer/football Badminton Table TennisRomance Science Fiction Fantasy
20,male,India,Pune,45000,"['Bitcoin', 'Cardano', 'Binance Smart Chain']","['music', 'books', 'travel']",Jazz RhythmandBlues(R&B) ElectronicDanceMusicMysteries Romance ThrillersThe Group Tour Visiting Friends
63,male,UK,Birmingham-Wolverhampton,70000,"['Ethereum', 'Cardano', 'Avalanche']","['music', 'sports', 'books', 'travel']",ElectronicDanceMusicTable Tennis TennisHistorical Fiction ThrillersThe Caravan/RV Road Trip
